Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
3DSignals,https://3dsig.com/,"3DSignals provides cognitive-based predictive maintenance solutions for the manufacturing industry. Known as Senso - MRR the technology provides real-time condition monitoring for mission control machinery and alerts on operational parameters by acoustic sensors to listen to the machine vibrations. It provides wireless ultrasonic sensor modules mounted on production line machines, which enable the generation of alerts to avoid unplanned downtime.",Series A,"26,000,000",Predictive Maintenance,Emerging,2015,Israel,Alternate,TRUE,,,,
Predictronics,https://www.predictronics.com/,"Predictronics provides predictive software solutions for enterprises to reduce asset downtime, improve productivity and on-time maintenance. The product capabilities are asset prioritization, data acquisition, data management, asset monitoring, failure classification based on historical data and prediction. ",Series A,"32,000,000",Predictive Maintenance,Emerging,2013,USA,Alternate,TRUE,,,,
Arundo Analytics,https://www.arundo.com/,"Arundo analytics is a real time operational intelligence platform which collects ,filters and segment the data from industrial equipments and IoT sensors to monitor the system performance. by applying big data, machine learning and predictive analytics techniques, they are able to predict likely failure and other typical scenarios that require actions. This information is presented via easy to use dashboards that allow you to monitor and take action well in advance of a problem resulting in increased efficiency, uptime and revenue.",Series A,"32,600,000",Predictive Maintenance,Emerging,2015,USA,Alternate,TRUE,,,,
Augury,https://www.augury.com/,"Augury has developed proprietary algorithms, smart sensing device and mobile diagnostics tool instrumental in predictive diagnosis of faults in machinery. Augury sensing device is placed on machinery which records the he vibrations and other sounds the equipment makes, device then sends this information to Augury’s servers that analyze it and spit back a diagnosis, such as that the machine needs more oil or a bearing replacement, to a smartphone app.",Series C,"59,000,000",Predictive Maintenance,Emerging,2012,Israel,Alternate,TRUE,,,,
Carbon Engineering ,https://carbonengineering.com/,Carbon Engineering is building technologies to capture CO2 directly from the atmosphere and to use that CO2 in the synthesis of clean transportation fuels that displace crude oil. ,Series B,"105,000,000",Carbon Capture,Distant,2009,UK,Alternate,TRUE,,,,
ClimeWorks,https://www.climeworks.com/,Climeworks captures CO2 from air with the world’s first commercial carbon removal technology. Our direct air capture plants remove CO2 from the atmosphere to supply to customers and to unlock a negative emissions future.,Series C,"36,400,000",Carbon Capture,Distant,2009,Switzerland,Alternate,TRUE,,,,
Prometheus,https://www.prometheus.io/,"Prometheus provides an open-source monitoring system that implements a dimensional data model, query language, and time series database. The time series are identified by a metric name and a set of key-value pairs. Supports query languages that allow slicing and dicing of time series data to generate ad-hoc graphs, tables and alerts. Features include multiple nodes for data visualization, Grafana integration, and console template language, storage and scaling using functional sharding. ",Undisclosed,,Operations Intelligence,Existing,2012,Germany,Alternate,TRUE,,,,
Silicon Kingdom Holdings,http://siliconkingdomholdings.com/,"Unlike other developing Direct Air Capture technologies, SKH’s MechanicalTrees™ require no energy for CO₂ capture. Instead, they use wind to deliver ambient air resulting in low capture costs, allowing CO₂ to be profitably sequestered in underground geological formations or sold as industrial gas (for synthetic fuels, enhanced oil recovery, food, beverage and agriculture). ",Undisclosed,,Carbon Capture,Emerging,2018,Ireland,Alternate,TRUE,,,,
Matrak,https://www.matrak.com.au/,"Matrak is a web-based collaboration tool to manage construction projects. Allows all the parties involved in a construction project to access information such as material status real time, floor plans, location, and quality assurance among others. Pr vides analytics features for managing projects and budgets.",Series A,"3,760,000",Advanced Project Management,Existing,2016,Australia,Alternate,TRUE,,,,
Thunderbolt Pipeline,https://www.thunderboltinnovation.com/,"Thunderbolt Pipeline is a provider of resource planning solution. It enables users to plan workforce, manage bids, collaborate with teams, manage customer relations, and more. One can also avail data to analyze which projects/jobs are more profitable, predict labor shortages, and more.",Seed,"100,000",Advanced Project Management,Emerging,2016,USA,Alternate,TRUE,,,,
Smartbeam,https://www.smartbeam.co/fr/,"The Belgian startup Smartbeam simplifies budget management on construction projects. Its product is a budget management platform that helps construction companies and real estate developers drastically increase project efficiency and collaboration, from the pre-construction phase to the construction phase. The platform completely transforms the way budget information is shared between all site stakeholders, saving 50% of your time while minimising financial risks.",Seed,,Advanced Project Management,Emerging,2016,Belgium,Alternate,TRUE,,,,
Spacemaker,https://www.spacemaker.ai/,"This Oslo-based startup’s mission is to design better cities with AI. Its technology helps city planners, real estate developers, and architects to maximise the potential of a building site by allowing them to explore and generate a multitude of site proposals and choose the best ones. Spacemaker combines expertise from a wide range of fields including architecture, mathematics, physics, and machine learning to provide users with creative, high-quality site proposals so that municipalities and developers can build more efficiently and densely to accommodate the world’s rapidly growing cities. ",Series A,"25,000,000",Advanced Project Management,Existing,2012,Norway,Alternate,TRUE,,,,
XYZ Reality,https://www.xyzreality.com/,"XYZ Reality offers building information modelling (BIM) to transform the way people work in construction by delivering a 3D view of a site, which, along with augmented reality technology, promises to construction costs by 20% and speed up project tasks by up to 69%. ",Unfunded,,Advanced Project Management,Emerging,2017,UK,Alternate,TRUE,,,,
